date,baseline_nav,step1_split_weak_and_stress_nav,step2_split_and_smooth_overheat_nav,hs300_benchmark
2012-09-04,1.0,0.9980014995000627,0.9980014995000627,0.857526881720429
2012-09-05,1.0,0.9980014995000627,0.9980014995000627,0.8571428571428563
2012-09-06,1.0,0.9980014995000627,0.9980014995000627,0.8655913978494612
2012-09-07,1.0,0.9980014995000627,0.9980014995000627,0.9051459293394766
2012-09-10,1.0,0.9980014995000627,0.9980014995000627,0.9082181259600604
2012-09-11,1.0,0.9980014995000627,0.9980014995000627,0.9013056835637469
2012-09-12,1.0,0.9980014995000627,0.9980014995000627,0.9059139784946224
2012-09-13,1.0,0.9980014995000627,0.9980014995000627,0.8970814132104441
2012-09-14,1.0,0.9980014995000627,0.9980014995000627,0.9032258064516115
2012-09-17,1.0,0.9980014995000627,0.9980014995000627,0.8821044546850986
2012-09-18,1.0,0.9980014995000627,0.9980014995000627,0.8713517665130556
2012-09-19,1.0,0.9980014995000627,0.9980014995000627,0.8748079877112122
2012-09-20,1.0,0.9980014995000627,0.9980014995000627,0.8559907834101369
2012-09-21,1.0,0.9980014995000627,0.9980014995000627,0.855606758832564
2012-09-24,1.0,0.9980014995000627,0.9980014995000627,0.8632872503840232
2012-09-25,1.0,0.9980014995000627,0.9980014995000627,0.8621351766513042
2012-09-26,1.0,0.9980014995000627,0.9980014995000627,0.8529185867895531
2012-09-27,1.0,0.9980014995000627,0.9980014995000627,0.8774961597542228
2012-09-28,1.0,0.9980014995000627,0.9980014995000627,0.8978494623655899
2012-10-08,1.0,0.9980014995000627,0.9980014995000627,0.8844086021505362
2012-10-09,1.0,0.9980014995000627,0.9980014995000627,0.9047619047619032
2012-10-10,1.0,0.9980014995000627,0.9980014995000627,0.9047619047619032
2012-10-11,1.0,0.9980014995000627,0.9980014995000627,0.8986175115207359
2012-10-12,1.0,0.9980014995000627,0.9980014995000627,0.89784946236559
2012-10-15,1.0,0.9980014995000627,0.9980014995000627,0.8947772657450062
2012-10-16,1.0,0.9980014995000627,0.9980014995000627,0.8951612903225793
2012-10-17,1.0,0.9980014995000627,0.9980014995000627,0.898617511520736
2012-10-18,0.9995,0.9975024987503127,0.9975024987503127,0.9097542242703521
2012-10-19,0.99900025,0.9970037475009376,0.9970037475009376,0.9097542242703521
2012-10-22,0.99900025,0.9970037475009376,0.9970037475009376,0.9132104454685087
2012-10-23,0.99900025,0.9970037475009376,0.9970037475009376,0.9028417818740386
2012-10-24,0.99900025,0.9970037475009376,0.9970037475009376,0.9013056835637467
2012-10-25,0.99900025,0.9970037475009376,0.9970037475009376,0.8940092165898603
2012-10-26,0.99900025,0.9970037475009376,0.9970037475009376,0.874039938556066
2012-10-29,0.99900025,0.9970037475009376,0.9970037475009376,0.8698156682027637
2012-10-30,0.99900025,0.9970037475009376,0.9970037475009376,0.8717357910906285
2012-10-31,0.99900025,0.9970037475009376,0.9970037475009376,0.877880184331796
2012-11-01,0.99900025,0.9970037475009376,0.9970037475009376,0.8963133640552984
2012-11-02,0.99900025,0.9970037475009376,0.9970037475009376,0.8982334869431632
2012-11-05,0.99900025,0.9970037475009376,0.9970037475009376,0.8959293394777255
2012-11-06,0.99900025,0.9970037475009376,0.9970037475009376,0.8924731182795687
2012-11-07,0.99900025,0.9970037475009376,0.9970037475009376,0.8917050691244228
2012-11-08,0.99900025,0.9970037475009376,0.9970037475009376,0.8755760368663582
2012-11-09,0.99900025,0.9970037475009376,0.9970037475009376,0.8732718894009205
2012-11-12,0.99900025,0.9970037475009376,0.9970037475009376,0.8763440860215043
2012-11-13,0.99900025,0.9970037475009376,0.9970037475009376,0.8629032258064506
2012-11-14,0.99900025,0.9970037475009376,0.9970037475009376,0.8652073732718882
2012-11-15,0.99900025,0.9970037475009376,0.9970037475009376,0.8548387096774182
2012-11-16,0.99900025,0.9970037475009376,0.9970037475009376,0.8467741935483859
2012-11-19,0.99900025,0.9970037475009376,0.9970037475009376,0.8467741935483859
2012-11-20,0.99900025,0.9970037475009376,0.9970037475009376,0.8444700460829482
2012-11-21,0.99900025,0.9970037475009376,0.9970037475009376,0.8548387096774182
2012-11-22,0.99900025,0.9965052456271871,0.9965052456271871,0.8498463901689699
2012-11-23,0.99900025,0.9965052456271871,0.9965052456271871,0.8544546850998456
2012-11-26,0.99900025,0.9965052456271871,0.9965052456271871,0.8490783410138241
2012-11-27,0.99900025,0.9965052456271871,0.9965052456271871,0.8398617511520728
2012-11-28,0.99900025,0.9965052456271871,0.9965052456271871,0.8306451612903217
2012-11-29,0.99900025,0.9965052456271871,0.9965052456271871,0.827572964669738
2012-11-30,0.99900025,0.9965052456271871,0.9965052456271871,0.8314132104454677
2012-12-03,0.99900025,0.9965052456271871,0.9965052456271871,0.8237327188940085
2012-12-04,0.99900025,0.9965052456271871,0.9965052456271871,0.8302611367127488
2012-12-05,0.99900025,0.9965052456271871,0.9965052456271871,0.8594470046082944
2012-12-06,0.99900025,0.9965052456271871,0.9965052456271871,0.8582949308755755
2012-12-07,0.99900025,0.9965052456271871,0.9965052456271871,0.8755760368663588
2012-12-10,0.99900025,0.9960069930043736,0.9960069930043736,0.8836405529953911
2012-12-11,0.99900025,0.9960069930043736,0.9960069930043736,0.8809523809523804
2012-12-12,0.99900025,0.9960069930043736,0.9960069930043736,0.8828725038402454
2012-12-13,0.99900025,0.9960069930043736,0.9960069930043736,0.8759600614439321
2012-12-14,0.998500749875,0.9955089895078715,0.9955089895078715,0.9201228878648231
2012-12-17,1.0014179056551025,0.9984174047526776,0.9984174047526776,0.922811059907834
2012-12-18,0.985998653674562,0.9830443527444175,0.9830443527444175,0.9086021505376343
2012-12-19,0.9884990729146492,0.985537280097108,0.985537280097108,0.9109062980030718
2012-12-20,0.9951668575548832,0.9921850863709503,0.9921850863709503,0.9170506912442393
2012-12-21,0.9909994921547371,0.988030207449799,0.988030207449799,0.9132104454685098
2012-12-24,0.9918329652347664,0.9888611832340293,0.9888611832340293,0.9139784946236558
2012-12-25,1.019337576875731,1.0162833841136287,1.0162833841136287,0.9393241167434717
2012-12-26,1.0222547326558329,1.0191917993584345,1.0191917993584345,0.9420122887864824
2012-12-27,1.02017104995576,1.017114359897859,1.017114359897859,0.9400921658986177
2012-12-28,1.0351735653962857,1.032071924014004,1.032071924014004,0.9539170506912443
2012-12-31,1.0518430269968702,1.0486914396986096,1.0486914396986096,0.969278033794163
2013-01-04,1.0543434462369576,1.0511843670513004,1.0511771813145434,0.9715821812596007
2013-01-07,1.056010392397016,1.052846318619761,1.0528009391740856,0.9731182795698926
2013-01-08,1.0514262904568557,1.0482759518064946,1.0484266869709846,0.9688940092165901
2013-01-09,1.0505928173768264,1.0474449760222644,1.047623475133494,0.9681259600614442
2013-01-10,1.053093236616914,1.0499379033749552,1.050030510596174,0.9704301075268821
2013-01-11,1.037257248096359,1.03414936347458,1.0350998290593412,0.9558371735791096
2013-01-14,1.0739300636176443,1.070712297980712,1.071604719254216,0.9896313364055304
2013-01-15,1.0801811117178637,1.076944616362439,1.0778149377564505,0.9953917050691249
2013-01-16,1.0722631174575858,1.0690503464122514,1.070057645754442,0.9880952380952385
2013-01-17,1.0655953328173522,1.0624025401384092,1.0634035756681337,0.981950844854071
2013-01-18,1.0814313213379072,1.0781910800387846,1.079206992123116,0.996543778801844
2013-01-21,1.0851819501980386,1.0819304710678206,1.0829499065466641,1.0000000000000004
2013-01-22,1.0835150040379802,1.08026851949936,1.081286389025087,0.9984639016897086
2013-01-23,1.0855986867380532,1.0823459589599356,1.0833657859270582,1.0003840245775735
2013-01-24,1.0785141655578048,1.0752826647939782,1.0762958364603559,0.9938556067588331
2013-01-25,1.0735133270776294,1.0702968100885966,1.0713052838956247,0.9892473118279576
2013-01-28,1.102684884878652,1.0993809625366562,1.1004168405232233,1.0161290322580652
2013-01-29,1.111019615678944,1.107690720378959,1.1087344281311087,1.0238095238095244
2013-01-30,1.1172706637791632,1.1139230387606862,1.1149726188370228,1.029569892473119
2013-01-31,1.1201878195592656,1.1168314540054922,1.1178837744997827,1.03225806451613
2013-02-01,1.1418581196400253,1.1384368243954794,1.1395095022802846,1.052227342549924
2013-02-04,1.1439418023400982,1.140514263856055,1.1415888991822558,1.0541474654377887
2013-02-05,1.1522765331403904,1.1488240216983576,1.1499032708493988,1.061827956989248
2013-02-06,1.1556104254605073,1.1521479248352788,1.1532084620334822,1.0649001536098317
2013-02-07,1.1501928504403174,1.146746582237782,1.1478021475702886,1.059907834101383
2013-02-08,1.1539434793004488,1.1504859732668182,1.1515449806601918,1.0633640552995398
2013-02-18,1.13685728115985,1.1334509696900976,1.1344942965839666,1.0476190476190483
2013-02-19,1.1185208733992076,1.1151695024370316,1.1161960014777736,1.030721966205838
2013-02-20,1.123521711879383,1.1201553571424132,1.1211864455976446,1.0353302611367137
2013-02-21,1.0831195210615068,1.0798742214897425,1.0808682316828648,0.998463901689709
2013-02-22,1.082219698690163,1.078977095213428,1.0799702796134667,0.9953917050691252
2013-02-25,1.0826706235646175,1.0794266690031005,1.0804202672299723,0.996927803379417
2013-02-26,1.0782460728183052,1.075015375328019,1.0760049130163665,0.9823348694316442
2013-02-27,1.0781005095984748,1.0748702482523496,1.0758596523531092,0.9915514592933954
2013-02-28,1.0879086354584548,1.0846489864907105,1.085647391792991,1.0249615975422437
2013-03-01,1.08757847210337,1.0843198123884035,1.0853179146901988,1.0238095238095248
2013-03-04,1.0737002201825312,1.070483143214565,1.0714685090421265,0.9754224270353312
2013-03-05,1.0820319648044987,1.0787899238258873,1.0797829359370952,1.0034562211981577
2013-03-06,1.0851625280092143,1.0819111070727774,1.082906992192619,1.0142089093702007
2013-03-07,1.0816124317418916,1.0783716477902674,1.079364274883818,1.0019201228878658
2013-03-08,1.0811646964309367,1.0779252540073567,1.078917470201229,1.000384024577574
2013-03-11,1.0791476290894186,1.0759142303089015,1.076904595381583,0.9934715821812606
2013-03-12,1.0749803755855132,1.0717594629487215,1.072746003612019,0.9792626728110608
2013-03-13,1.0716486828369836,1.0684377527929159,1.0694212358651645,0.9685099846390176
2013-03-14,1.0716486828369836,1.0684377527929159,1.0694212358651645,0.9704301075268826
2013-03-15,1.0716486828369836,1.0684377527929159,1.0694212358651645,0.9711981566820285
2013-03-18,1.0716486828369836,1.0684377527929159,1.0694212358651645,0.9608294930875583
2013-03-19,1.0716486828369836,1.0684377527929159,1.0694212358651645,0.9692780337941638
2013-03-20,1.0715040102648006,1.0682935136962888,1.0692768639983228,0.9988479262672821
2013-03-21,1.0722826117947508,1.069069782339459,1.0700538471866954,1.001536098310293
2013-03-22,1.0730596877672554,1.069844529996139,1.0708293079885292,1.0042242703533037
2013-03-25,1.0726165120644682,1.0694026821596587,1.0703870534368551,1.0026881720430119
2013-03-26,1.0678470453064948,1.0646475059283782,1.0656275001276243,0.9861751152073743
2013-03-27,1.0685206871341413,1.0653191293550153,1.066299741774901,0.988479262672812
2013-03-28,1.0595540799693792,1.0563793884093788,1.0573517719138528,0.957757296466975
2013-03-29,1.0586081986024571,1.0554363411418664,1.0564078565835808,0.9550691244239641
2013-04-01,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9535330261136722
2013-04-02,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.955069124423964
2013-04-03,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9531490015360993
2013-04-08,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9485407066052237
2013-04-09,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.954301075268818
2013-04-10,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.954301075268818
2013-04-11,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9500768049155155
2013-04-12,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9470046082949319
2013-04-15,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9374039938556077
2013-04-16,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9431643625192023
2013-04-17,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9454685099846403
2013-04-18,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9473886328725051
2013-04-19,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9742703533026127
2013-04-22,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9711981566820289
2013-04-23,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9416282642089107
2013-04-24,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9577572964669752
2013-04-25,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.947772657450078
2013-04-26,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9389400921658998
2013-05-02,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9397081413210457
2013-05-03,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9566052227342563
2013-05-06,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9677419354838726
2013-05-07,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9700460829493104
2013-05-08,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9761904761904779
2013-05-09,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9711981566820294
2013-05-10,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9750384024577592
2013-05-13,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9711981566820295
2013-05-14,1.0586081986024571,1.0549086229712954,1.0558796526552892,0.9569892473118298
2013-05-15,1.0586081986024571,1.05438116865981,1.0553517128289616,0.9615975422427054
2013-05-16,1.0586081986024571,1.05438116865981,1.0553517128289616,0.9811827956989266
2013-05-17,1.0586081986024571,1.05438116865981,1.0553517128289616,0.9980798771121372
2013-05-20,1.058078894503156,1.05385397807548,1.0548240369725472,1.0038402457757316
2013-05-21,1.058078894503156,1.05385397807548,1.0548240369725472,1.0038402457757316
2013-05-22,1.0592932161112316,1.0550634508888797,1.0560346230899602,1.0049923195084505
2013-05-23,1.0479595477691932,1.043775037963817,1.0447358193274388,0.9942396313364075
2013-05-24,1.0536263819402123,1.0494192444263486,1.0503852212086997,0.9996159754224292
2013-05-27,1.0511977387240614,1.0470002987995493,1.0479640489738733,0.9973118279569911
2013-05-28,1.0730555276694211,1.0687708094407413,1.0697545990873079,1.0180491551459314
2013-05-29,1.0688778565637722,1.0646098198050427,1.0655897793147016,1.0145929339477748
2013-05-30,1.0688778565637722,1.0646098198050427,1.0655897793147016,1.011904761904764
2013-05-31,1.0683434176354905,1.0640775148951402,1.0650569844250444,1.0003840245775752
2013-06-03,1.069858783826724,1.0655868302185714,1.0665676890536244,1.0023041474654402
2013-06-04,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9877112135176678
2013-06-05,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9850230414746568
2013-06-06,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9754224270353328
2013-06-07,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9577572964669766
2013-06-13,1.069858783826724,1.0655868302185714,1.0665676890536244,0.928187403993858
2013-06-14,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9347158218125985
2013-06-17,1.069858783826724,1.0655868302185714,1.0665676890536244,0.928955453149004
2013-06-18,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9350998463901714
2013-06-19,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9297235023041498
2013-06-20,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9005376344086045
2013-06-21,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8963133640553017
2013-06-24,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8413978494623674
2013-06-25,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8417818740399405
2013-06-26,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8398617511520756
2013-06-27,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8402457757296486
2013-06-28,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8556067588325672
2013-07-01,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8590629800307237
2013-07-02,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8617511520737344
2013-07-03,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8598310291858694
2013-07-04,1.069858783826724,1.0655868302185714,1.0665676890536244,0.865975422427037
2013-07-05,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8690476190476207
2013-07-08,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8456221198156697
2013-07-09,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8437019969278049
2013-07-10,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8671274961597557
2013-07-11,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9105222734255008
2013-07-12,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8878648233486959
2013-07-15,1.069858783826724,1.0655868302185714,1.0665676890536244,0.9005376344086036
2013-07-16,1.069858783826724,1.0655868302185714,1.0665676890536244,0.905913978494625
2013-07-17,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8924731182795711
2013-07-18,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8786482334869443
2013-07-19,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8544546850998477
2013-07-22,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8598310291858692
2013-07-23,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8867127496159771
2013-07-24,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8801843317972367
2013-07-25,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8778801843317989
2013-07-26,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8698156682027668
2013-07-29,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8529185867895563
2013-07-30,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8579109062980048
2013-07-31,1.069858783826724,1.0655868302185714,1.0665676890536244,0.8598310291858693
2013-08-01,1.0693238544348107,1.0650540368034622,1.0660344052090978,0.8824884792626745
2013-08-02,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8809523809523826
2013-08-05,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8936251920122904
2013-08-06,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8993855606758848
2013-08-07,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8932411674347174
2013-08-08,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8936251920122903
2013-08-09,1.0669288109714616,1.0626685567654173,1.0636467293676655,0.8974654377880201
2013-08-12,1.066395346565976,1.0621372224870347,1.0631149060029816,0.9243471582181277
2013-08-13,1.066395346565976,1.0621372224870347,1.0631149060029816,0.9243471582181277
2013-08-14,1.0641801505822492,1.0599308717963678,1.060906524395165,0.9224270353302629
2013-08-15,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9116743471582199
2013-08-16,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9051459293394796
2013-08-19,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9128264208909388
2013-08-20,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9062980030721984
2013-08-21,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9062980030721984
2013-08-22,1.0512491655468437,1.047051520274669,1.0480153175976956,0.9032258064516145
2013-08-23,1.0507235409640705,1.0465279945145318,1.0474913099388967,0.8974654377880201
2013-08-26,1.0741029265567663,1.069814026057003,1.070798775970913,0.9174347158218141
2013-08-27,1.0735658750934882,1.0692791190439745,1.0702633765829277,0.9174347158218141
2013-08-28,1.0735658750934882,1.0692791190439745,1.0702633765829277,0.9132104454685116
2013-08-29,1.0735658750934882,1.0692791190439745,1.0702633765829277,0.9105222734255006
2013-08-30,1.0735658750934882,1.0692791190439745,1.0702633765829277,0.9089861751152087
2013-09-02,1.0730290921559416,1.0687444794844527,1.0697282448946364,0.9097542242703548
2013-09-03,1.0893351484318443,1.0849854255635747,1.0859841405536512,0.9235791090629814
2013-09-04,1.0888822024241804,1.084534288172488,1.0855325878964563,0.9231950844854084
2013-09-05,1.0833768248794282,1.0790508936387855,1.080044145969316,0.919354838709679
2013-09-06,1.0751855351820483,1.0708923118184706,1.071878054280417,0.9247311827957005
2013-09-09,1.083994236321988,1.079665839753136,1.0806596581335766,0.9589093701996945
2013-09-10,1.0983201513394591,1.0939345512917236,1.0949415038357824,0.9715821812596022
2013-09-11,1.1030954563452828,1.0986907884712527,1.099702119069851,0.9758064516129048
2013-09-12,1.1139484222676097,1.1095004184247281,1.1105216991472797,0.9854070660522289
2013-09-13,1.1057001681666414,1.101285099660087,1.1022988182884341,0.9781105990783427
2013-09-16,1.1000566258870312,1.0956640920842795,1.096672636648171,0.973118279569894
2013-09-17,1.0773801784177397,1.073078191828369,1.0740659463644695,0.9539170506912458
2013-09-18,1.0707730174922188,1.066497413342645,1.0674791103576349,0.9550691244239646
2013-09-23,1.0830321484650995,1.078707593519791,1.0797005298470213,0.9685099846390184
2013-09-24,1.0727257362671765,1.068442334897874,1.0694258221878903,0.9592933947772674
2013-09-25,1.0653245728376952,1.0610707243657425,1.0620474261840225,0.9535330261136729
2013-09-26,1.0662971019266303,1.0620393701392221,1.0630169635833537,0.9377880184331814
2013-09-27,1.0630560773007134,1.0588112869473094,1.0597859089827963,0.9412442396313383
2013-09-30,1.071813518669781,1.0675337597917265,1.0685164107501604,0.9473886328725057
2013-10-08,1.0647043402308582,1.0604529683520436,1.0614291015339379,0.9608294930875593
2013-10-09,1.065021581272282,1.0607689426477696,1.0617453666798984,0.9619815668202779
2013-10-10,1.058505196836199,1.054278578180326,1.0552490279162736,0.9535330261136727
2013-10-11,1.0490758204338408,1.044886853343907,1.0458486581191428,0.9688940092165915
2013-10-14,1.0494916253567237,1.045300997954824,1.0462631839447945,0.9692780337941643
2013-10-15,1.0482442105880745,1.0440585641220725,1.0450196064678394,0.9681259600614454
2013-10-16,1.0290218400666389,1.0249129486606012,1.0258563677160408,0.9512288786482347
2013-10-17,1.0232086135083964,1.0191229343566732,1.0200610237791594,0.9462365591397862
2013-10-18,1.0471414265940135,1.0429601835522144,1.043920214852935,0.950844854070662
2013-10-21,1.047162867869904,1.0429815392129402,1.0439415901712692,0.9711981566820292
2013-10-22,1.034637118878348,1.0305058056247327,1.0314543728323557,0.9604454685099862
2013-10-23,1.043469498992459,1.0393029179832602,1.0402595828185333,0.9500768049155163
2013-10-24,1.043469498992459,1.0393029179832602,1.0402595828185333,0.9423963133640567
2013-10-25,1.043469498992459,1.0393029179832602,1.0402595828185333,0.9274193548387111
2013-10-28,1.043469498992459,1.0393029179832602,1.0402595828185333,0.92857142857143
2013-10-29,1.042947764242963,1.0387832665242687,1.039739453027124,0.9297235023041488
2013-10-30,1.0392662258201493,1.035116428510132,1.036069239736228,0.9427803379416297
2013-10-31,1.0387465927072392,1.034598870295877,1.03555120511636,0.9335637480798785
2013-11-01,1.034373759749038,1.0302434980902686,1.0311918238472133,0.9374039938556081
2013-11-04,1.0267046058008913,1.0226049671274873,1.0235462617159066,0.9347158218125975
2013-11-05,1.0267046058008913,1.0226049671274873,1.0235462617159066,0.9347158218125975
2013-11-06,1.0267046058008913,1.0226049671274873,1.0235462617159066,0.9239631336405544
2013-11-07,1.0267046058008913,1.0226049671274873,1.0235462617159066,0.9201228878648247
2013-11-08,1.0267046058008913,1.0226049671274873,1.0235462617159066,0.9062980030721979
